day,date,hijri,z1fajr,z1sunrise,z1luhar,z1asr,z1maghrib,z1isha,z2fajr,z2sunrise,z2luhar,z2asr,z2maghrib,z2isha,z3fajr,z3sunrise,z3luhar,z3asr,z3maghrib,z3isha,z4fajr,z4sunrise,z4luhar,z4asr,z4maghrib,z4isha,z5fajr,z5sunrise,z5luhar,z5asr,z5maghrib,z5isha,z6fajr,z6sunrise,z6luhar,z6asr,z6maghrib,z6isha,z7fajr,z7sunrise,z7luhar,z7asr,z7maghrib,z7isha,z8fajr,z8sunrise,z8luhar,z8asr,z8maghrib,z8isha,z9fajr,z9sunrise,z9luhar,z9asr,z9maghrib,z9isha,z10fajr,z10sunrise,z10luhar,z10asr,z10maghrib,z10isha,z11fajr,z11sunrise,z11luhar,z11asr,z11maghrib,z11isha,z12fajr,z12sunrise,z12luhar,z12asr,z12maghrib,z12isha,z13fajr,z13sunrise,z13luhar,z13asr,z13maghrib,z13isha
Tuesday,8/11/2026,26 Safar 1448,4:45 AM,6:05 AM,12:17 PM,3:34 PM,6:28 PM,7:40 PM,4:41 AM,6:02 AM,12:17 PM,3:32 PM,6:31 PM,7:44 PM,4:39 AM,6:00 AM,12:15 PM,3:30 PM,6:29 PM,7:41 PM,4:43 AM,6:04 AM,12:18 PM,3:34 PM,6:30 PM,7:42 PM,4:40 AM,6:01 AM,12:15 PM,3:31 PM,6:28 PM,7:40 PM,4:42 AM,6:02 AM,12:15 PM,3:32 PM,6:27 PM,7:39 PM,4:41 AM,6:01 AM,12:14 PM,3:31 PM,6:26 PM,7:37 PM,4:36 AM,5:57 AM,12:10 PM,3:26 PM,6:22 PM,7:34 PM,4:37 AM,5:58 AM,12:12 PM,3:28 PM,6:26 PM,7:38 PM,4:40 AM,6:00 AM,12:12 PM,3:29 PM,6:24 PM,7:35 PM,4:43 AM,6:03 AM,12:15 PM,3:32 PM,6:26 PM,7:37 PM,4:44 AM,6:04 AM,12:16 PM,3:34 PM,6:26 PM,7:37 PM,4:42 AM,6:02 AM,12:13 PM,3:31 PM,6:24 PM,7:35 PM
Wednesday,8/12/2026,27 Safar 1448,4:45 AM,6:05 AM,12:17 PM,3:34 PM,6:28 PM,7:40 PM,4:41 AM,6:02 AM,12:17 PM,3:31 PM,6:31 PM,7:43 PM,4:39 AM,6:00 AM,12:15 PM,3:29 PM,6:28 PM,7:41 PM,4:44 AM,6:04 AM,12:17 PM,3:33 PM,6:30 PM,7:42 PM,4:40 AM,6:01 AM,12:15 PM,3:30 PM,6:27 PM,7:39 PM,4:42 AM,6:02 AM,12:15 PM,3:31 PM,6:27 PM,7:38 PM,4:41 AM,6:01 AM,12:14 PM,3:30 PM,6:25 PM,7:37 PM,4:36 AM,5:57 AM,12:10 PM,3:26 PM,6:22 PM,7:33 PM,4:37 AM,5:58 AM,12:12 PM,3:27 PM,6:26 PM,7:38 PM,4:40 AM,6:00 AM,12:12 PM,3:29 PM,6:23 PM,7:35 PM,4:43 AM,6:03 AM,12:15 PM,3:32 PM,6:26 PM,7:37 PM,4:45 AM,6:04 AM,12:16 PM,3:33 PM,6:26 PM,7:37 PM,4:42 AM,6:02 AM,12:13 PM,3:31 PM,6:23 PM,7:35 PM
Thursday,8/13/2026,28 Safar 1448,4:45 AM,6:05 AM,12:17 PM,3:33 PM,6:28 PM,7:39 PM,4:41 AM,6:02 AM,12:17 PM,3:31 PM,6:31 PM,7:43 PM,4:39 AM,6:00 AM,12:14 PM,3:28 PM,6:28 PM,7:40 PM,4:44 AM,6:04 AM,12:17 PM,3:33 PM,6:30 PM,7:41 PM,4:41 AM,6:01 AM,12:14 PM,3:30 PM,6:27 PM,7:39 PM,4:42 AM,6:02 AM,12:15 PM,3:31 PM,6:26 PM,7:38 PM,4:41 AM,6:01 AM,12:14 PM,3:30 PM,6:25 PM,7:36 PM,4:36 AM,5:56 AM,12:09 PM,3:25 PM,6:21 PM,7:33 PM,4:38 AM,5:58 AM,12:12 PM,3:27 PM,6:25 PM,7:37 PM,4:40 AM,6:00 AM,12:12 PM,3:28 PM,6:23 PM,7:34 PM,4:43 AM,6:03 AM,12:15 PM,3:31 PM,6:25 PM,7:37 PM,4:45 AM,6:04 AM,12:15 PM,3:32 PM,6:25 PM,7:37 PM,4:42 AM,6:02 AM,12:13 PM,3:30 PM,6:23 PM,7:34 PM
Friday,8/14/2026,29 Safar 1448,4:45 AM,6:05 AM,12:17 PM,3:32 PM,6:27 PM,7:39 PM,4:41 AM,6:02 AM,12:17 PM,3:30 PM,6:30 PM,7:42 PM,4:39 AM,6:00 AM,12:14 PM,3:28 PM,6:28 PM,7:40 PM,4:44 AM,6:04 AM,12:17 PM,3:32 PM,6:29 PM,7:41 PM,4:41 AM,6:01 AM,12:14 PM,3:29 PM,6:27 PM,7:38 PM,4:42 AM,6:02 AM,12:14 PM,3:30 PM,6:26 PM,7:37 PM,4:41 AM,6:01 AM,12:13 PM,3:29 PM,6:25 PM,7:36 PM,4:36 AM,5:56 AM,12:09 PM,3:24 PM,6:21 PM,7:32 PM,4:38 AM,5:58 AM,12:12 PM,3:26 PM,6:25 PM,7:37 PM,4:40 AM,6:00 AM,12:12 PM,3:28 PM,6:22 PM,7:34 PM,4:43 AM,6:03 AM,12:14 PM,3:30 PM,6:25 PM,7:36 PM,4:45 AM,6:04 AM,12:15 PM,3:32 PM,6:25 PM,7:36 PM,4:42 AM,6:02 AM,12:13 PM,3:29 PM,6:23 PM,7:34 PM
Saturday,8/15/2026,01 Rabi Ul-Awwal 1448,4:45 AM,6:05 AM,12:16 PM,3:32 PM,6:27 PM,7:38 PM,4:42 AM,6:02 AM,12:16 PM,3:29 PM,6:30 PM,7:42 PM,4:40 AM,6:00 AM,12:14 PM,3:27 PM,6:27 PM,7:39 PM,4:44 AM,6:04 AM,12:17 PM,3:31 PM,6:29 PM,7:40 PM,4:41 AM,6:01 AM,12:14 PM,3:28 PM,6:26 PM,7:38 PM,4:42 AM,6:02 AM,12:14 PM,3:29 PM,6:26 PM,7:37 PM,4:41 AM,6:01 AM,12:13 PM,3:28 PM,6:24 PM,7:36 PM,4:37 AM,5:57 AM,12:09 PM,3:24 PM,6:20 PM,7:32 PM,4:38 AM,5:58 AM,12:12 PM,3:25 PM,6:25 PM,7:36 PM,4:40 AM,6:00 AM,12:12 PM,3:27 PM,6:22 PM,7:33 PM,4:43 AM,6:03 AM,12:14 PM,3:30 PM,6:24 PM,7:36 PM,4:45 AM,6:04 AM,12:15 PM,3:31 PM,6:25 PM,7:36 PM,4:42 AM,6:02 AM,12:13 PM,3:29 PM,6:22 PM,7:33 PM
Sunday,8/16/2026,02 Rabi Ul-Awwal 1448,4:45 AM,6:05 AM,12:16 PM,3:31 PM,6:27 PM,7:38 PM,4:42 AM,6:02 AM,12:16 PM,3:28 PM,6:29 PM,7:41 PM,4:40 AM,6:00 AM,12:14 PM,3:26 PM,6:27 PM,7:39 PM,4:44 AM,6:04 AM,12:17 PM,3:30 PM,6:28 PM,7:40 PM,4:41 AM,6:01 AM,12:14 PM,3:27 PM,6:26 PM,7:37 PM,4:42 AM,6:02 AM,12:14 PM,3:28 PM,6:25 PM,7:36 PM,4:42 AM,6:01 AM,12:13 PM,3:28 PM,6:24 PM,7:35 PM,4:37 AM,5:57 AM,12:09 PM,3:23 PM,6:20 PM,7:31 PM,4:38 AM,5:58 AM,12:12 PM,3:24 PM,6:24 PM,7:36 PM,4:40 AM,6:00 AM,12:11 PM,3:26 PM,6:22 PM,7:33 PM,4:43 AM,6:03 AM,12:14 PM,3:29 PM,6:24 PM,7:35 PM,4:45 AM,6:04 AM,12:15 PM,3:31 PM,6:24 PM,7:35 PM,4:43 AM,6:02 AM,12:12 PM,3:28 PM,6:22 PM,7:33 PM
Monday,8/17/2026,03 Rabi Ul-Awwal 1448,4:45 AM,6:05 AM,12:16 PM,3:30 PM,6:26 PM,7:37 PM,4:42 AM,6:02 AM,12:16 PM,3:27 PM,6:29 PM,7:41 PM,4:40 AM,6:00 AM,12:14 PM,3:25 PM,6:26 PM,7:38 PM,4:44 AM,6:04 AM,12:16 PM,3:30 PM,6:28 PM,7:39 PM,4:41 AM,6:01 AM,12:14 PM,3:26 PM,6:25 PM,7:37 PM,4:42 AM,6:02 AM,12:14 PM,3:28 PM,6:25 PM,7:36 PM,4:42 AM,6:01 AM,12:13 PM,3:27 PM,6:23 PM,7:35 PM,4:37 AM,5:56 AM,12:09 PM,3:22 PM,6:20 PM,7:31 PM,4:38 AM,5:58 AM,12:11 PM,3:24 PM,6:24 PM,7:35 PM,4:40 AM,6:00 AM,12:11 PM,3:25 PM,6:21 PM,7:32 PM,4:43 AM,6:03 AM,12:14 PM,3:28 PM,6:24 PM,7:35 PM,4:45 AM,6:04 AM,12:15 PM,3:30 PM,6:24 PM,7:35 PM,4:43 AM,6:02 AM,12:12 PM,3:27 PM,6:22 PM,7:32 PM
Tuesday,8/18/2026,04 Rabi Ul-Awwal 1448,4:45 AM,6:05 AM,12:16 PM,3:30 PM,6:26 PM,7:37 PM,4:42 AM,6:02 AM,12:16 PM,3:27 PM,6:28 PM,7:40 PM,4:40 AM,6:00 AM,12:13 PM,3:25 PM,6:26 PM,7:37 PM,4:44 AM,6:04 AM,12:16 PM,3:29 PM,6:28 PM,7:39 PM,4:41 AM,6:01 AM,12:13 PM,3:26 PM,6:25 PM,7:36 PM,4:43 AM,6:02 AM,12:14 PM,3:27 PM,6:24 PM,7:35 PM,4:42 AM,6:01 AM,12:13 PM,3:26 PM,6:23 PM,7:34 PM,4:37 AM,5:56 AM,12:08 PM,3:21 PM,6:19 PM,7:30 PM,4:38 AM,5:58 AM,12:11 PM,3:23 PM,6:23 PM,7:35 PM,4:40 AM,6:00 AM,12:11 PM,3:25 PM,6:21 PM,7:32 PM,4:43 AM,6:03 AM,12:14 PM,3:28 PM,6:23 PM,7:34 PM,4:45 AM,6:04 AM,12:14 PM,3:29 PM,6:24 PM,7:34 PM,4:43 AM,6:02 AM,12:12 PM,3:27 PM,6:21 PM,7:32 PM
Wednesday,8/19/2026,05 Rabi Ul-Awwal 1448,4:45 AM,6:05 AM,12:16 PM,3:29 PM,6:26 PM,7:36 PM,4:42 AM,6:02 AM,12:16 PM,3:26 PM,6:28 PM,7:39 PM,4:40 AM,6:00 AM,12:13 PM,3:24 PM,6:26 PM,7:37 PM,4:45 AM,6:04 AM,12:16 PM,3:28 PM,6:27 PM,7:38 PM,4:41 AM,6:01 AM,12:13 PM,3:25 PM,6:24 PM,7:36 PM,4:43 AM,6:02 AM,12:13 PM,3:26 PM,6:24 PM,7:35 PM,4:42 AM,6:01 AM,12:12 PM,3:25 PM,6:23 PM,7:34 PM,4:37 AM,5:56 AM,12:08 PM,3:21 PM,6:19 PM,7:30 PM,4:38 AM,5:58 AM,12:11 PM,3:22 PM,6:23 PM,7:34 PM,4:40 AM,6:00 AM,12:11 PM,3:24 PM,6:21 PM,7:31 PM,4:44 AM,6:03 AM,12:13 PM,3:27 PM,6:23 PM,7:34 PM,4:45 AM,6:04 AM,12:14 PM,3:28 PM,6:23 PM,7:34 PM,4:43 AM,6:02 AM,12:12 PM,3:26 PM,6:21 PM,7:32 PM
Thursday,8/20/2026,06 Rabi Ul-Awwal 1448,4:45 AM,6:05 AM,12:15 PM,3:28 PM,6:25 PM,7:36 PM,4:42 AM,6:02 AM,12:15 PM,3:25 PM,6:28 PM,7:39 PM,4:40 AM,6:00 AM,12:13 PM,3:23 PM,6:25 PM,7:36 PM,4:44 AM,6:04 AM,12:16 PM,3:27 PM,6:27 PM,7:38 PM,4:41 AM,6:01 AM,12:13 PM,3:24 PM,6:24 PM,7:35 PM,4:43 AM,6:02 AM,12:13 PM,3:25 PM,6:23 PM,7:34 PM,4:42 AM,6:01 AM,12:12 PM,3:25 PM,6:22 PM,7:33 PM,4:37 AM,5:56 AM,12:08 PM,3:20 PM,6:18 PM,7:29 PM,4:38 AM,5:58 AM,12:11 PM,3:21 PM,6:22 PM,7:33 PM,4:41 AM,6:00 AM,12:10 PM,3:23 PM,6:20 PM,7:31 PM,4:44 AM,6:02 AM,12:13 PM,3:26 PM,6:23 PM,7:33 PM,4:45 AM,6:04 AM,12:14 PM,3:27 PM,6:23 PM,7:33 PM,4:43 AM,6:02 AM,12:12 PM,3:25 PM,6:20 PM,7:31 PM
Friday,8/21/2026,07 Rabi Ul-Awwal 1448,4:45 AM,6:04 AM,12:15 PM,3:27 PM,6:25 PM,7:35 PM,4:42 AM,6:02 AM,12:15 PM,3:24 PM,6:27 PM,7:38 PM,4:40 AM,6:00 AM,12:13 PM,3:22 PM,6:24 PM,7:36 PM,4:45 AM,6:04 AM,12:16 PM,3:26 PM,6:26 PM,7:37 PM,4:41 AM,6:01 AM,12:13 PM,3:23 PM,6:24 PM,7:35 PM,4:43 AM,6:02 AM,12:13 PM,3:25 PM,6:23 PM,7:34 PM,4:42 AM,6:01 AM,12:12 PM,3:24 PM,6:22 PM,7:32 PM,4:37 AM,5:56 AM,12:08 PM,3:19 PM,6:18 PM,7:29 PM,4:38 AM,5:58 AM,12:10 PM,3:20 PM,6:22 PM,7:33 PM,4:41 AM,6:00 AM,12:10 PM,3:22 PM,6:20 PM,7:30 PM,4:44 AM,6:02 AM,12:13 PM,3:25 PM,6:22 PM,7:33 PM,4:45 AM,6:04 AM,12:14 PM,3:27 PM,6:22 PM,7:33 PM,4:43 AM,6:01 AM,12:11 PM,3:24 PM,6:20 PM,7:30 PM
Saturday,8/22/2026,08 Rabi Ul-Awwal 1448,4:46 AM,6:04 AM,12:15 PM,3:26 PM,6:24 PM,7:35 PM,4:43 AM,6:02 AM,12:15 PM,3:23 PM,6:27 PM,7:38 PM,4:41 AM,6:00 AM,12:13 PM,3:21 PM,6:24 PM,7:35 PM,4:45 AM,6:04 AM,12:15 PM,3:25 PM,6:26 PM,7:37 PM,4:42 AM,6:01 AM,12:13 PM,3:22 PM,6:23 PM,7:34 PM,4:43 AM,6:02 AM,12:13 PM,3:24 PM,6:23 PM,7:33 PM,4:42 AM,6:01 AM,12:12 PM,3:23 PM,6:21 PM,7:32 PM,4:37 AM,5:56 AM,12:07 PM,3:18 PM,6:18 PM,7:28 PM,4:39 AM,5:58 AM,12:10 PM,3:19 PM,6:21 PM,7:32 PM,4:41 AM,5:59 AM,12:10 PM,3:21 PM,6:19 PM,7:30 PM,4:44 AM,6:02 AM,12:13 PM,3:24 PM,6:22 PM,7:32 PM,4:45 AM,6:04 AM,12:13 PM,3:26 PM,6:22 PM,7:32 PM,4:43 AM,6:02 AM,12:11 PM,3:23 PM,6:20 PM,7:30 PM
